Match ID,Turnaus,Joukkue1,Joukkue2,Kartta,T1 Score,T2 Score,T1 FH,T1 SH,T2 FH,T2 SH,T1 Clutches,T2 Clutches,T1 FK,T2 FK,T1 Rating,T2 Rating,Tyyppi,Päiväys,MapNro,Voittaja,Team1,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Team2,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Voittaja,T1 Tapot,T2 Tapot,Tapot Yht,T1 K/R,T2 K/R,T1 Taso,T2 Taso,Ott Taso,Turnaus Taso,Turnaus Tyyppi,Total Rounds
22313,IEM Sydney 2023,Natus Vincere,MOUZ,Mirage,13,16,4,8,8,4,0,2,12,17,0.94,1.06,LAN,10/16/2023,Map1,2,Natus Vincere,b1t,22313,27 - 17,1.59,77.7,-2,1.19,jL,22313,25 - 19,1.32,77.8,2,1.17,iM,22313,22 - 21,1.05,88.6,-1,1.12,Aleksib,22313,11 - 19,0.58,54.2,-2,0.74,B1ad3,22313,6 - 21,0.29,31.3,-2,0.47,MOUZ,xertioN,22313,20 - 19,1.05,87.6,1,1.23,siuhy,22313,18 - 22,0.82,86.7,4,1.07,torzsi,22313,23 - 16,1.44,71.7,-3,1.06,frozen,22313,18 - 19,0.95,71.7,5,1.02,Nexius,22313,17 - 15,1.13,49.8,-2,0.91,2,91,96,187,3.14,3.31,1,5,6,26,Large,29
22314,IEM Sydney 2023,Natus Vincere,MOUZ,Inferno,13,4,9,4,3,1,1,1,12,5,1.47,0.67,LAN,10/16/2023,Map2,1,Natus Vincere,b1t,22314,29 - 5,5.8,153.1,3,2.62,jL,22314,15 - 10,1.5,107.4,3,1.55,Aleksib,22314,14 - 7,2,80.5,3,1.44,iM,22314,10 - 9,1.11,68.8,0,1.09,B1ad3,22314,7 - 12,0.58,46.6,-2,0.66,MOUZ,frozen,22314,10 - 14,0.71,75.9,0,0.86,xertioN,22314,12 - 14,0.86,68.9,-2,0.85,siuhy,22314,9 - 16,0.56,68.9,-3,0.84,torzsi,22314,6 - 17,0.35,54.1,-1,0.47,Nexius,22314,6 - 16,0.38,37.5,-1,0.34,1,75,43,118,4.41,2.53,1,5,6,26,Large,17
22315,IEM Sydney 2023,Natus Vincere,MOUZ,Ancient,6,13,5,1,7,6,1,1,8,11,0.67,1.48,LAN,10/16/2023,Map3,2,Natus Vincere,b1t,22315,13 - 17,0.76,68.6,0,0.9,Aleksib,22315,11 - 16,0.69,74.6,-1,0.79,iM,22315,8 - 16,0.5,50.5,-3,0.65,jL,22315,7 - 16,0.44,53.6,-1,0.57,B1ad3,22315,4 - 16,0.25,33.5,2,0.43,MOUZ,siuhy,22315,21 - 10,2.1,86.9,1,1.68,torzsi,22315,19 - 7,2.71,97.7,-1,1.66,Nexius,22315,16 - 8,2,94,1,1.46,frozen,22315,12 - 8,1.5,80.2,0,1.32,xertioN,22315,12 - 10,1.2,71.5,2,1.28,2,43,80,123,2.26,4.21,1,5,6,26,Large,19
22316,IEM Sydney 2023,BetBoom,GamerLegion,Mirage,13,11,8,5,4,7,4,4,6,18,1.12,1.1,LAN,10/16/2023,Map1,1,BetBoom,KaiR0N-,22316,31 - 17,1.82,113.2,-1,1.67,nafany,22316,18 - 18,1,93.4,-3,1.27,danistzz,22316,13 - 18,0.72,72.9,-5,0.98,s1ren,22316,14 - 13,1.08,58.9,-2,0.97,zorte,22316,10 - 17,0.59,47.9,-1,0.74,GamerLegion,Snax,22316,23 - 14,1.64,92.9,0,1.42,acoR,22316,19 - 17,1.12,75.8,4,1.17,volt,22316,17 - 18,0.94,79.8,4,1.15,isak,22316,13 - 18,0.72,68.9,3,0.93,Keoz,22316,11 - 19,0.58,56.1,1,0.83,1,86,83,169,3.58,3.46,5,5,10,26,Large,24
22317,IEM Sydney 2023,BetBoom,GamerLegion,Nuke,13,6,8,5,4,2,0,2,15,4,1.48,0.72,LAN,10/16/2023,Map2,1,BetBoom,nafany,22317,21 - 8,2.63,110.8,2,1.86,s1ren,22317,17 - 9,1.89,87.2,3,1.55,zorte,22317,17 - 12,1.42,90.2,5,1.49,KaiR0N-,22317,14 - 14,1,89.1,0,1.26,danistzz,22317,15 - 11,1.36,68.4,1,1.26,GamerLegion,volt,22317,13 - 17,0.76,74.5,-1,0.83,acoR,22317,12 - 16,0.75,63.6,-1,0.78,isak,22317,10 - 16,0.63,61.2,-5,0.76,Keoz,22317,11 - 18,0.61,59.1,0,0.67,Snax,22317,7 - 17,0.41,51.5,-4,0.55,1,84,53,137,4.42,2.79,5,5,10,26,Large,19
22318,IEM Sydney 2023,Vitality,FaZe,Overpass,16,14,9,3,3,9,3,3,15,15,1.16,1.05,LAN,10/16/2023,Map1,1,Vitality,Spinx,22318,30 - 19,1.58,93.3,3,1.49,ZywOo,22318,21 - 21,1,86,2,1.17,apEX,22318,23 - 19,1.21,85.5,-2,1.17,Magisk,22318,19 - 21,0.9,74.3,-1,1,flameZ,22318,19 - 22,0.86,58.5,-2,0.99,FaZe,broky,22318,31 - 21,1.48,89.3,4,1.44,ropz,22318,26 - 22,1.18,89.3,0,1.2,rain,22318,18 - 22,0.82,79.9,0,1.06,karrigan,22318,11 - 25,0.44,65.2,-1,0.78,Twistzz,22318,15 - 22,0.68,55.3,-3,0.77,1,112,101,213,3.73,3.37,1,5,6,26,Large,30
22319,IEM Sydney 2023,Vitality,FaZe,Inferno,10,13,5,5,7,6,0,3,14,9,1.12,0.96,LAN,10/16/2023,Map2,2,Vitality,ZywOo,22319,20 - 15,1.33,80.4,0,1.29,flameZ,22319,18 - 13,1.38,81.5,2,1.27,Magisk,22319,16 - 17,0.94,94.2,2,1.19,Spinx,22319,15 - 15,1,66.3,-1,0.97,apEX,22319,8 - 13,0.62,46.7,2,0.88,FaZe,rain,22319,18 - 16,1.13,93.9,1,1.32,Twistzz,22319,20 - 14,1.43,82.2,-2,1.23,broky,22319,13 - 16,0.81,63,2,0.89,ropz,22319,14 - 15,0.93,64.4,-1,0.81,karrigan,22319,7 - 16,0.44,34.2,-5,0.55,2,77,72,149,3.35,3.13,1,5,6,26,Large,23
22320,IEM Sydney 2023,Vitality,FaZe,Nuke,9,13,8,1,4,9,2,2,8,14,0.89,1.19,LAN,10/16/2023,Map3,2,Vitality,ZywOo,22320,18 - 18,1,95,-2,1.1,Magisk,22320,16 - 13,1.23,61.5,-2,0.97,Spinx,22320,14 - 16,0.88,63.3,0,0.87,apEX,22320,9 - 17,0.53,61.3,-1,0.79,flameZ,22320,9 - 16,0.56,42.8,-1,0.71,FaZe,rain,22320,23 - 12,1.92,107.3,5,1.76,Twistzz,22320,17 - 14,1.21,75.3,1,1.19,ropz,22320,18 - 15,1.2,74.1,1,1.12,karrigan,22320,11 - 11,1,65.2,-1,1.04,broky,22320,10 - 15,0.67,52.5,0,0.83,2,66,79,145,3,3.59,1,5,6,26,Large,22
22321,IEM Sydney 2023,Complexity,G2,Anubis,7,13,6,1,6,7,1,0,7,13,0.89,1.23,LAN,10/17/2023,Map1,2,Complexity,floppy,22321,11 - 14,0.79,82.5,0,0.98,Grim,22321,13 - 15,0.87,67.2,0,0.95,EliGE,22321,14 - 16,0.88,84.5,-4,0.94,JT,22321,8 - 12,0.67,48.2,-1,0.87,hallzerk,22321,10 - 13,0.77,40.8,-1,0.71,G2,m0NESY,22321,23 - 10,2.3,103.1,6,1.89,huNter-,22321,14 - 11,1.27,92.2,0,1.2,jks,22321,12 - 11,1.09,63.5,1,1.11,NiKo,22321,13 - 12,1.08,60.7,0,1.03,HooXi,22321,8 - 12,0.67,45.8,-1,0.92,2,56,70,126,2.8,3.5,5,5,10,26,Large,20
22322,IEM Sydney 2023,Complexity,G2,Ancient,7,13,4,3,8,5,1,3,8,12,0.91,1.16,LAN,10/17/2023,Map2,2,Complexity,EliGE,22322,20 - 14,1.43,116.2,3,1.53,JT,22322,12 - 12,1,71.5,-1,0.95,Grim,22322,12 - 13,0.92,56.8,-1,0.93,hallzerk,22322,8 - 13,0.62,52.5,-2,0.66,floppy,22322,6 - 14,0.43,38.7,-3,0.5,G2,NiKo,22322,17 - 11,1.55,91.5,0,1.45,m0NESY,22322,15 - 10,1.5,81,3,1.41,jks,22322,11 - 10,1.1,67.1,1,1.1,huNter-,22322,12 - 13,0.92,70.3,-1,1.03,HooXi,22322,11 - 14,0.79,58.1,1,0.79,2,58,66,124,2.9,3.3,5,5,10,26,Large,20
