Match ID,Turnaus,Joukkue1,Joukkue2,Kartta,T1 Score,T2 Score,T1 FH,T1 SH,T2 FH,T2 SH,T1 Clutches,T2 Clutches,T1 FK,T2 FK,T1 Rating,T2 Rating,Tyyppi,Päiväys,MapNro,Voittaja,Team1,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Team2,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Name,ID,K - D,K/D,ADR,FK Diff,Rating,Voittaja,T1 Tapot,T2 Tapot,Tapot Yht,T1 K/R,T2 K/R,T1 Taso,T2 Taso,Ott Taso,Turnaus Taso,Turnaus Tyyppi,Total Rounds
22406,Roobet Cup 2023,Movistar Riders,9z,Nuke,5,13,5,0,7,6,0,3,10,8,0.95,1.24,Online,10/29/2023,Map2,2,Movistar Riders,mopoz,22406,16 - 12,1.33,80.5,-1,1.31,alex,22406,12 - 16,0.75,90.3,1,1.02,adamS,22406,13 - 13,1,65.7,1,0.94,MartinezSa,22406,10 - 13,0.77,54.6,1,0.82,JUST,22406,6 - 13,0.46,51.3,0,0.64,9z,buda,22406,19 - 8,2.38,102.9,0,1.78,dgt,22406,16 - 9,1.78,79.4,0,1.35,tge,22406,14 - 10,1.4,80.3,-1,1.33,HUASOPEEK,22406,12 - 14,0.86,78.2,2,1.2,max,22406,6 - 16,0.38,41.9,-3,0.55,2,57,67,124,3.17,3.72,4,4,8,18,Medium,18
22407,Roobet Cup 2023,Movistar Riders,9z,Overpass,13,6,10,3,2,4,2,0,11,8,1.15,1,Online,10/29/2023,Map3,1,Movistar Riders,mopoz,22407,22 - 9,2.44,103.4,2,1.81,adamS,22407,18 - 14,1.29,93.1,1,1.33,JUST,22407,11 - 11,1,52.5,1,0.99,alex,22407,8 - 13,0.62,54.6,0,0.86,MartinezSa,22407,9 - 14,0.64,64.6,-1,0.74,9z,tge,22407,18 - 13,1.38,76,0,1.13,dgt,22407,12 - 13,0.92,89.7,-1,1.12,max,22407,12 - 15,0.8,86.8,-1,1.07,HUASOPEEK,22407,9 - 14,0.64,50.6,0,0.86,buda,22407,9 - 13,0.69,50.4,-1,0.82,1,68,60,128,3.58,3.16,4,4,8,18,Medium,19
22408,Roobet Cup 2023,Heroic,Aurora,Ancient,14,16,8,4,4,8,1,1,14,16,0.93,1.11,Online,10/29/2023,Map1,2,Heroic,dupreeh,22408,20 - 21,0.95,70.8,3,1.06,sirah,22408,22 - 20,1.1,77.7,-4,1.05,Chr1zN,22408,17 - 19,0.89,51.5,1,0.91,TeSeS,22408,17 - 21,0.81,77.3,-2,0.91,sjuush,22408,15 - 23,0.65,59,0,0.74,Aurora,Norwi,22408,25 - 16,1.56,85,1,1.37,KENSI,22408,23 - 21,1.1,90.7,5,1.25,lattykk,22408,22 - 16,1.38,76,1,1.22,Lack1,22408,21 - 19,1.11,78.5,-3,1.1,SELLTER,22408,13 - 21,0.62,47.5,-2,0.62,2,91,104,195,3.03,3.47,2,5,7,18,Medium,30
22409,Roobet Cup 2023,Heroic,Aurora,Nuke,13,7,7,6,5,2,2,1,10,10,1.3,0.83,Online,10/29/2023,Map2,1,Heroic,sirah,22409,17 - 12,1.42,104.8,1,1.48,dupreeh,22409,17 - 13,1.31,85.7,1,1.39,sjuush,22409,15 - 11,1.36,66.2,-1,1.25,TeSeS,22409,15 - 14,1.07,92,-1,1.22,Chr1zN,22409,13 - 8,1.63,54.5,0,1.17,Aurora,KENSI,22409,16 - 16,1,80.8,0,1.01,Norwi,22409,14 - 15,0.93,73,-1,0.88,Lack1,22409,11 - 16,0.69,63,0,0.86,SELLTER,22409,7 - 16,0.44,49,2,0.73,lattykk,22409,9 - 16,0.56,55.2,-1,0.69,1,77,57,134,3.85,2.85,2,5,7,18,Medium,20
22410,Roobet Cup 2023,Heroic,Aurora,Overpass,11,13,6,5,6,7,1,3,12,12,1.03,1.07,Online,10/29/2023,Map3,2,Heroic,sjuush,22410,21 - 16,1.31,94.4,-1,1.26,sirah,22410,16 - 15,1.07,76.4,-1,1.08,dupreeh,22410,17 - 18,0.94,80.1,1,1.06,TeSeS,22410,15 - 15,1,57.7,0,1.02,Chr1zN,22410,13 - 20,0.65,50.1,1,0.71,Aurora,lattykk,22410,22 - 14,1.57,93.1,1,1.45,Norwi,22410,16 - 16,1,87,5,1.27,Lack1,22410,18 - 19,0.95,73.2,-4,0.99,SELLTER,22410,14 - 17,0.82,67.2,-1,0.91,KENSI,22410,12 - 16,0.75,61.2,-1,0.75,2,82,82,164,3.42,3.42,2,5,7,18,Medium,24
22411,Roobet Cup 2023,Ninjas in Pyjamas,OG,Mirage,10,13,5,5,7,6,3,1,8,15,0.89,1.26,Online,10/29/2023,Map1,2,Ninjas in Pyjamas,maxster,22411,15 - 14,1.07,65.3,1,1.07,REZ,22411,13 - 18,0.72,77.1,0,0.97,k0nfig,22411,15 - 18,0.83,68.1,-3,0.91,headtr1ck,22411,14 - 19,0.74,70,-2,0.76,es3tag,22411,12 - 17,0.71,51.9,-3,0.74,OG,k1to,22411,19 - 13,1.46,84,3,1.45,nexa,22411,18 - 11,1.64,76.9,1,1.39,FASHR,22411,18 - 15,1.2,88.1,0,1.28,regali,22411,16 - 15,1.07,81.7,3,1.2,F1KU,22411,15 - 17,0.88,59.7,0,0.99,2,69,86,155,3,3.74,1,1,2,18,Medium,23
22412,Roobet Cup 2023,Ninjas in Pyjamas,OG,Overpass,13,8,6,7,6,2,2,1,10,11,1.25,0.88,Online,10/29/2023,Map2,1,Ninjas in Pyjamas,REZ,22412,21 - 11,1.91,110.6,-1,1.68,k0nfig,22412,17 - 9,1.89,84.5,-1,1.44,headtr1ck,22412,17 - 14,1.21,83.1,0,1.26,maxster,22412,13 - 11,1.18,59.5,1,1.12,es3tag,22412,9 - 14,0.64,51,0,0.78,OG,FASHR,22412,13 - 15,0.87,77.8,4,1.09,nexa,22412,14 - 15,0.93,73.3,0,1.04,F1KU,22412,12 - 14,0.86,58.4,0,0.88,k1to,22412,11 - 17,0.65,53.4,-3,0.7,regali,22412,9 - 16,0.56,44.7,0,0.69,1,77,59,136,3.67,2.81,1,1,2,18,Medium,21
22413,Roobet Cup 2023,Ninjas in Pyjamas,OG,Ancient,9,13,5,4,7,6,2,3,7,14,0.98,1.21,Online,10/29/2023,Map3,2,Ninjas in Pyjamas,k0nfig,22413,18 - 18,1,90.6,0,1.18,headtr1ck,22413,18 - 15,1.2,75.1,1,1.17,es3tag,22413,15 - 15,1,74,-1,1.05,REZ,22413,10 - 14,0.71,47.6,-3,0.81,maxster,22413,7 - 15,0.47,45.5,-4,0.68,OG,FASHR,22413,20 - 13,1.54,85.6,2,1.42,F1KU,22413,17 - 13,1.31,79,3,1.4,regali,22413,15 - 13,1.15,67,2,1.22,nexa,22413,15 - 15,1,79.6,2,1.18,k1to,22413,9 - 14,0.64,49.3,-2,0.82,2,68,76,144,3.09,3.45,1,1,2,18,Medium,22
22414,Roobet Cup 2023,9INE,Apeks,Mirage,7,13,4,3,8,5,0,3,9,11,0.91,1.25,Online,10/29/2023,Map1,2,9INE,Kylar,22414,19 - 15,1.27,88.3,-1,1.24,KEi,22414,13 - 16,0.81,79,0,0.94,Goofy,22414,12 - 17,0.71,67.8,-2,0.88,mynio,22414,11 - 15,0.73,67.1,1,0.85,hades,22414,8 - 15,0.53,49.7,0,0.64,Apeks,nawwk,22414,19 - 6,3.17,87.2,-2,1.62,kyxsan,22414,21 - 14,1.5,110.3,1,1.53,CacaNito,22414,18 - 14,1.29,90.8,3,1.29,jkaem,22414,11 - 15,0.73,64.3,3,0.95,sense,22414,9 - 14,0.64,51.8,-3,0.84,2,63,78,141,3.15,3.9,5,4,9,18,Medium,20
22415,Roobet Cup 2023,9INE,Apeks,Vertigo,8,13,7,1,5,8,0,3,9,12,0.97,1.15,Online,10/29/2023,Map2,2,9INE,KEi,22415,21 - 15,1.4,95.9,2,1.35,hades,22415,12 - 12,1,57.2,0,1.01,Goofy,22415,13 - 15,0.87,71.1,-2,0.86,Kylar,22415,11 - 16,0.69,66.3,-1,0.85,mynio,22415,9 - 19,0.47,61.1,-2,0.77,Apeks,CacaNito,22415,17 - 14,1.21,90.5,4,1.38,jkaem,22415,16 - 16,1,83,-1,1.11,kyxsan,22415,15 - 12,1.25,81.7,-1,1.11,sense,22415,15 - 14,1.07,79.7,1,1.09,nawwk,22415,13 - 11,1.18,64.4,0,1.07,2,66,76,142,3.14,3.62,5,4,9,18,Medium,21
22416,Roobet Cup 2023,BIG,Aurora,Ancient,14,16,3,9,9,3,0,2,17,13,1.08,1,Online,10/30/2023,Map1,2,BIG,tabseN,22416,24 - 20,1.2,93.3,0,1.3,Krimbo,22416,20 - 19,1.05,57.9,2,1.06,prosus,22416,17 - 18,0.94,69.6,0,1.05,mantuu,22416,20 - 18,1.11,59.8,1,1.02,s1n,22416,19 - 21,0.9,62.7,1,0.99,Aurora,Lack1,22416,23 - 22,1.05,92.1,-3,1.18,KENSI,22416,26 - 24,1.08,87.5,2,1.13,SELLTER,22416,17 - 17,1,62.3,0,1,Norwi,22416,17 - 20,0.85,68.1,-1,0.95,lattykk,22416,13 - 19,0.68,45.8,-2,0.75,2,100,96,196,3.33,3.2,2,5,7,18,Medium,30
22417,Roobet Cup 2023,BIG,Aurora,Nuke,10,13,6,4,6,7,2,1,9,14,0.87,1.2,Online,10/30/2023,Map2,2,BIG,tabseN,22417,13 - 18,0.72,73.9,-1,0.97,prosus,22417,18 - 16,1.13,75,-5,0.95,mantuu,22417,14 - 17,0.82,66.9,1,0.93,Krimbo,22417,16 - 17,0.94,69,-1,0.88,s1n,22417,9 - 17,0.53,44.7,1,0.59,Aurora,Norwi,22417,24 - 13,1.85,96.8,4,1.63,lattykk,22417,17 - 12,1.42,88,2,1.32,KENSI,22417,20 - 14,1.43,97.9,-1,1.31,SELLTER,22417,13 - 14,0.93,59.5,-1,0.95,Lack1,22417,11 - 17,0.65,44.1,1,0.82,2,70,85,155,3.04,3.7,2,5,7,18,Medium,23
22418,Roobet Cup 2023,Monte,Movistar Riders,Anubis,13,10,8,5,4,6,0,2,13,10,1.31,0.87,Online,10/30/2023,Map1,1,Monte,kRaSnaL,22418,24 - 14,1.71,100.8,2,1.72,Woro2k,22418,20 - 14,1.43,78.9,0,1.31,br0,22418,16 - 15,1.07,70.6,1,1.2,DemQQ,22418,16 - 13,1.23,80.7,1,1.19,sdy,22418,15 - 12,1.25,73.3,-1,1.11,Movistar Riders,MartinezSa,22418,23 - 15,1.53,67.3,0,1.23,mopoz,22418,18 - 18,1,81.9,-4,1.01,alex,22418,11 - 20,0.55,57.1,3,0.74,adamS,22418,7 - 18,0.39,65.2,-2,0.72,JUST,22418,9 - 20,0.45,54,0,0.66,1,91,68,159,3.96,2.96,3,4,7,18,Medium,23
22419,Roobet Cup 2023,Monte,Movistar Riders,Overpass,13,1,11,2,1,0,1,1,12,2,1.7,0.43,Online,10/30/2023,Map2,1,Monte,br0,22419,20 - 6,3.33,133.6,5,2.37,kRaSnaL,22419,15 - 2,7.5,96.1,0,1.86,sdy,22419,12 - 4,3,93.9,2,1.74,DemQQ,22419,11 - 6,1.83,75.7,0,1.28,Woro2k,22419,11 - 8,1.38,82.6,3,1.23,Movistar Riders,adamS,22419,9 - 13,0.69,51.5,-1,0.69,MartinezSa,22419,5 - 14,0.36,52.6,-2,0.41,alex,22419,5 - 14,0.36,54.2,-2,0.4,JUST,22419,6 - 14,0.43,46.4,-2,0.39,mopoz,22419,1 - 14,0.07,23.1,-3,0.25,1,69,26,95,4.93,1.86,3,4,7,18,Medium,14
22420,Roobet Cup 2023,FURIA,Apeks,Ancient,13,11,7,6,5,6,1,1,12,12,1.13,0.94,Online,10/31/2023,Map1,1,FURIA,chelo,22420,19 - 13,1.46,72.3,1,1.32,yuurih,22420,16 - 13,1.23,80.2,-1,1.24,KSCERATO,22420,14 - 13,1.08,70.4,0,1.15,arT,22420,16 - 14,1.14,76.3,2,1.13,FalleN,22420,15 - 18,0.83,59.4,-2,0.82,Apeks,jkaem,22420,23 - 18,1.28,113.6,2,1.4,nawwk,22420,13 - 13,1,59.9,0,0.96,CacaNito,22420,15 - 16,0.94,74.9,-3,0.92,kyxsan,22420,14 - 18,0.78,52.8,1,0.9,sense,22420,6 - 15,0.4,35.3,0,0.54,1,80,71,151,3.33,2.96,2,4,6,18,Medium,24
22421,Roobet Cup 2023,FURIA,Apeks,Overpass,13,11,8,5,4,7,1,1,12,12,1.09,1.03,Online,10/31/2023,Map2,1,FURIA,yuurih,22421,25 - 16,1.56,111.8,6,1.66,KSCERATO,22421,13 - 15,0.87,75.9,-1,1.1,chelo,22421,16 - 16,1,59.2,-1,0.96,arT,22421,17 - 20,0.85,67.6,-4,0.94,FalleN,22421,9 - 13,0.69,42.2,0,0.77,Apeks,kyxsan,22421,20 - 16,1.25,95.6,-3,1.27,CacaNito,22421,18 - 18,1,87.5,-3,1.09,jkaem,22421,14 - 18,0.78,73.4,2,1.07,nawwk,22421,14 - 12,1.17,52,1,0.94,sense,22421,11 - 17,0.65,54.4,3,0.79,1,80,77,157,3.33,3.21,2,4,6,18,Medium,24
22422,Roobet Cup 2023,Virtus.pro,OG,Inferno,13,9,8,5,4,5,2,1,12,10,1.21,0.94,Online,10/31/2023,Map1,1,Virtus.pro,FL1T,22422,21 - 14,1.5,96,3,1.56,mir,22422,20 - 11,1.82,93,2,1.49,fame,22422,16 - 15,1.07,86.7,-2,1.23,Jame,22422,13 - 12,1.08,55,0,0.98,n0rb3r7,22422,8 - 14,0.57,43.6,-1,0.78,OG,FASHR,22422,18 - 17,1.06,92.9,-1,1.23,nexa,22422,13 - 16,0.81,65.7,0,1.06,k1to,22422,13 - 14,0.93,69,1,1,regali,22422,11 - 15,0.73,53,1,0.75,F1KU,22422,10 - 16,0.63,50.3,-3,0.69,1,78,65,143,3.55,2.95,1,1,2,18,Medium,22
22423,Roobet Cup 2023,Virtus.pro,OG,Overpass,13,11,5,8,7,4,0,2,9,14,1.18,0.9,Online,10/31/2023,Map2,1,Virtus.pro,FL1T,22423,19 - 15,1.27,86,1,1.33,mir,22423,21 - 13,1.62,77.4,-1,1.27,fame,22423,16 - 13,1.23,82.5,-2,1.27,Jame,22423,16 - 13,1.23,60.8,0,1.08,n0rb3r7,22423,14 - 16,0.88,70.8,-3,0.93,OG,F1KU,22423,21 - 16,1.31,92.9,2,1.31,FASHR,22423,15 - 20,0.75,66,-1,0.9,k1to,22423,15 - 19,0.79,72.8,2,0.87,regali,22423,11 - 16,0.69,47.8,3,0.79,nexa,22423,8 - 16,0.5,42.6,-1,0.64,1,86,70,156,3.58,2.92,1,1,2,18,Medium,24
22424,Roobet Cup 2023,Aurora,Monte,Anubis,13,10,4,9,8,2,1,0,14,9,1.12,1.02,Online,11/1/2023,Map1,1,Aurora,SELLTER,22424,20 - 14,1.43,78.2,2,1.28,Norwi,22424,17 - 12,1.42,71.1,1,1.22,KENSI,22424,14 - 13,1.08,69.6,2,1.09,Lack1,22424,15 - 19,0.79,79.3,0,1.05,lattykk,22424,13 - 15,0.87,63.4,0,0.94,Monte,sdy,22424,22 - 15,1.47,98.5,0,1.51,br0,22424,16 - 16,1,73.9,-3,1.14,kRaSnaL,22424,14 - 16,0.88,60.3,-2,0.95,Woro2k,22424,12 - 14,0.86,67.9,-1,0.87,DemQQ,22424,9 - 18,0.5,48.8,1,0.61,1,79,73,152,3.43,3.17,5,3,8,18,Medium,23
22425,Roobet Cup 2023,Aurora,Monte,Nuke,8,13,7,1,5,8,3,1,11,10,0.92,1.26,Online,11/1/2023,Map2,2,Aurora,KENSI,22425,15 - 16,0.94,77.7,2,1.11,Norwi,22425,14 - 16,0.88,83.6,0,1.05,SELLTER,22425,14 - 15,0.93,71.5,-3,0.93,lattykk,22425,10 - 16,0.63,56.3,1,0.9,Lack1,22425,7 - 18,0.39,53.3,1,0.61,Monte,kRaSnaL,22425,21 - 11,1.91,98.2,2,1.64,br0,22425,18 - 11,1.64,86.8,-2,1.4,DemQQ,22425,18 - 11,1.64,84,1,1.36,Woro2k,22425,17 - 14,1.21,73.9,0,1.13,sdy,22425,6 - 15,0.4,52,-2,0.78,2,60,80,140,2.86,3.81,5,3,8,18,Medium,21
22426,Roobet Cup 2023,Aurora,Monte,Ancient,10,13,7,3,5,8,2,2,14,9,0.94,1.23,Online,11/1/2023,Map3,2,Aurora,SELLTER,22426,18 - 16,1.13,82.7,2,1.3,Lack1,22426,15 - 20,0.75,75.9,4,1.06,Norwi,22426,16 - 22,0.73,88.3,0,0.87,KENSI,22426,13 - 19,0.68,75.6,-2,0.8,lattykk,22426,11 - 16,0.69,46.6,1,0.67,Monte,sdy,22426,25 - 16,1.56,104.6,-1,1.54,br0,22426,20 - 13,1.54,87.4,2,1.38,Woro2k,22426,21 - 12,1.75,78.8,-2,1.25,kRaSnaL,22426,14 - 15,0.93,88.8,1,1.19,DemQQ,22426,12 - 18,0.67,51.2,-5,0.81,2,73,92,165,3.17,4,5,3,8,18,Medium,23
22427,Roobet Cup 2023,FURIA,Virtus.pro,Mirage,16,13,5,7,7,5,1,3,12,17,1.07,0.99,Online,11/1/2023,Map1,1,FURIA,KSCERATO,22427,25 - 17,1.47,81.6,4,1.36,yuurih,22427,23 - 18,1.28,96.4,0,1.24,FalleN,22427,23 - 15,1.53,82.1,-3,1.22,arT,22427,14 - 24,0.58,66.8,-3,0.76,chelo,22427,14 - 19,0.74,51.8,-3,0.74,Virtus.pro,fame,22427,21 - 17,1.24,79.7,2,1.22,mir,22427,21 - 19,1.11,73.2,1,1.1,n0rb3r7,22427,16 - 21,0.76,66.1,-1,0.92,Jame,22427,16 - 19,0.84,54.3,0,0.86,FL1T,22427,16 - 25,0.64,69.8,3,0.84,1,99,90,189,3.41,3.1,2,1,3,18,Medium,29
22428,Roobet Cup 2023,FURIA,Virtus.pro,Inferno,10,13,4,6,8,5,1,2,9,14,0.97,1.12,Online,11/1/2023,Map2,2,FURIA,yuurih,22428,17 - 12,1.42,82,3,1.24,KSCERATO,22428,14 - 12,1.17,65.3,0,1.12,arT,22428,13 - 19,0.68,73.6,-1,0.85,FalleN,22428,10 - 14,0.71,41.5,-4,0.83,chelo,22428,12 - 17,0.71,65.2,-3,0.83,Virtus.pro,FL1T,22428,18 - 14,1.29,89.9,-1,1.27,Jame,22428,15 - 12,1.25,67.7,3,1.22,fame,22428,17 - 14,1.21,78.3,2,1.22,mir,22428,13 - 14,0.93,57.7,2,0.95,n0rb3r7,22428,11 - 13,0.85,58.4,-1,0.93,2,66,74,140,2.87,3.22,2,1,3,18,Medium,23
22429,Roobet Cup 2023,FURIA,Virtus.pro,Ancient,7,13,4,3,8,5,1,2,8,12,0.86,1.27,Online,11/1/2023,Map3,2,FURIA,yuurih,22429,17 - 16,1.06,96.9,2,1.2,KSCERATO,22429,12 - 11,1.09,78.2,-3,1.08,FalleN,22429,11 - 16,0.69,59.4,0,0.76,chelo,22429,8 - 17,0.47,59.5,1,0.67,arT,22429,8 - 13,0.62,37,-4,0.58,Virtus.pro,FL1T,22429,17 - 13,1.31,95.8,1,1.37,mir,22429,17 - 12,1.42,94.5,1,1.36,n0rb3r7,22429,15 - 11,1.36,88.8,-1,1.32,fame,22429,15 - 11,1.36,75.5,0,1.26,Jame,22429,9 - 10,0.9,49.8,3,1.06,2,56,73,129,2.8,3.65,2,1,3,18,Medium,20
22430,Roobet Cup 2023,Monte,Virtus.pro,Overpass,10,13,5,5,7,6,2,1,8,15,0.96,1.26,Online,11/2/2023,Map1,2,Monte,sdy,22430,18 - 15,1.2,82,0,1.19,Woro2k,22430,14 - 15,0.93,65.3,2,0.97,kRaSnaL,22430,13 - 19,0.68,66.4,-5,0.93,DemQQ,22430,15 - 18,0.83,63,-1,0.88,br0,22430,12 - 21,0.57,72.1,-3,0.83,Virtus.pro,FL1T,22430,23 - 15,1.53,104.1,3,1.62,n0rb3r7,22430,20 - 13,1.54,85.9,2,1.44,fame,22430,20 - 15,1.33,89.6,1,1.4,Jame,22430,15 - 13,1.15,69.1,1,1.11,mir,22430,9 - 16,0.56,42.6,0,0.74,2,72,87,159,3.13,3.78,3,1,4,18,Medium,23
22431,Roobet Cup 2023,Monte,Virtus.pro,Anubis,13,10,6,7,6,4,2,2,12,11,1.24,0.95,Online,11/2/2023,Map2,1,Monte,br0,22431,18 - 14,1.29,79.2,1,1.36,sdy,22431,18 - 11,1.64,81.1,-1,1.35,Woro2k,22431,15 - 13,1.15,79,2,1.3,kRaSnaL,22431,16 - 17,0.94,77.2,-1,1.09,DemQQ,22431,16 - 17,0.94,77.6,0,1.09,Virtus.pro,Jame,22431,19 - 16,1.19,77.3,3,1.13,fame,22431,19 - 16,1.19,70.2,0,1.04,mir,22431,11 - 15,0.73,57.6,-3,0.88,FL1T,22431,12 - 16,0.75,59.7,-3,0.88,n0rb3r7,22431,11 - 20,0.55,65.9,2,0.79,1,83,72,155,3.61,3.13,3,1,4,18,Medium,23
22432,Roobet Cup 2023,Monte,Virtus.pro,Mirage,4,13,4,0,8,5,1,3,7,10,0.75,1.38,Online,11/2/2023,Map3,2,Monte,DemQQ,22432,10 - 13,0.77,66.8,0,0.91,br0,22432,13 - 16,0.81,80.6,2,0.9,kRaSnaL,22432,8 - 16,0.5,65.5,-1,0.76,sdy,22432,6 - 14,0.43,44.8,-3,0.61,Woro2k,22432,10 - 15,0.67,54.2,-1,0.56,Virtus.pro,mir,22432,20 - 9,2.22,92.7,0,1.79,Jame,22432,19 - 9,2.11,106.4,2,1.7,FL1T,22432,13 - 12,1.08,90.1,0,1.26,n0rb3r7,22432,9 - 6,1.5,74.9,0,1.17,fame,22432,11 - 11,1,67.5,1,0.99,2,47,72,119,2.76,4.24,3,1,4,18,Medium,17
22433,Thunderpick World Championship 2023,Cloud9,fnatic,Ancient,13,8,6,7,6,2,1,1,15,6,1.23,0.88,Online,10/27/2023,Map1,1,Cloud9,HObbit,22433,24 - 11,2.18,112.5,6,1.91,Perfecto,22433,14 - 10,1.4,72.8,-1,1.2,Ax1Le,22433,15 - 16,0.94,73.4,3,1.17,Boombl4,22433,11 - 12,0.92,62.3,-1,1.04,electroNic,22433,9 - 12,0.75,39.4,2,0.84,fnatic,mezii,22433,26 - 13,2,116.8,-3,1.61,roeJ,22433,12 - 13,0.92,46.7,-2,0.82,dexter,22433,9 - 17,0.53,74,-1,0.77,afro,22433,10 - 14,0.71,48,-2,0.72,KRIMZ,22433,4 - 17,0.24,46.4,-1,0.47,1,73,61,134,3.48,2.9,2,5,7,19,Medium,21
22434,Thunderpick World Championship 2023,Cloud9,fnatic,Overpass,11,13,8,3,4,9,0,3,10,14,1.05,1.01,Online,10/27/2023,Map2,2,Cloud9,Boombl4,22434,22 - 16,1.38,83.8,0,1.26,electroNic,22434,19 - 18,1.06,91.8,1,1.16,HObbit,22434,13 - 11,1.18,52.6,-2,1.09,Perfecto,22434,12 - 13,0.92,53.5,-1,0.94,Ax1Le,22434,12 - 17,0.71,59.1,-2,0.78,fnatic,afro,22434,18 - 17,1.06,80.1,0,1.22,mezii,22434,18 - 14,1.29,75.1,4,1.2,roeJ,22434,15 - 15,1,69.5,0,1,KRIMZ,22434,11 - 16,0.69,64.5,-2,0.84,dexter,22434,13 - 16,0.81,49,2,0.8,2,78,75,153,3.25,3.13,2,5,7,19,Medium,24
22435,Thunderpick World Championship 2023,Cloud9,fnatic,Inferno,13,10,7,6,5,5,0,1,12,11,1.17,1,Online,10/27/2023,Map3,1,Cloud9,Perfecto,22435,22 - 11,2,85.3,1,1.53,HObbit,22435,16 - 13,1.23,81.6,1,1.26,Boombl4,22435,14 - 17,0.82,74.2,0,1.06,Ax1Le,22435,13 - 15,0.87,61.9,2,1.01,electroNic,22435,13 - 17,0.76,67.4,-3,0.96,fnatic,KRIMZ,22435,18 - 13,1.38,80,1,1.21,mezii,22435,16 - 16,1,90,0,1.18,dexter,22435,17 - 17,1,68.6,2,1.05,afro,22435,10 - 16,0.63,54,-1,0.78,roeJ,22435,11 - 16,0.69,55.5,-3,0.76,1,78,72,150,3.39,3.13,2,5,7,19,Medium,23
22436,Thunderpick World Championship 2023,Monte,Wildcard,Overpass,13,2,10,3,2,0,0,0,13,2,1.7,0.41,Online,10/27/2023,Map1,1,Monte,Woro2k,22436,21 - 2,10.5,153.9,3,2.64,sdy,22436,15 - 6,2.5,101.5,1,1.73,kRaSnaL,22436,13 - 5,2.6,81.3,4,1.56,DemQQ,22436,11 - 6,1.83,72.1,2,1.32,br0,22436,8 - 4,2,53.3,1,1.26,Wildcard,freshie,22436,5 - 12,0.42,44.3,-3,0.52,Cryptic,22436,5 - 14,0.36,59.4,-2,0.49,brett,22436,8 - 14,0.57,53.6,-3,0.47,SLIGHT,22436,3 - 14,0.21,47.3,-1,0.35,d4rty,22436,2 - 14,0.14,23.5,-2,0.21,1,68,23,91,4.53,1.53,3,5,8,19,Medium,15
22437,Thunderpick World Championship 2023,Monte,Wildcard,Anubis,13,6,6,7,6,0,2,0,11,8,1.28,0.93,Online,10/27/2023,Map2,1,Monte,kRaSnaL,22437,17 - 11,1.55,100.3,3,1.66,sdy,22437,20 - 9,2.22,99,1,1.65,DemQQ,22437,16 - 14,1.14,76.5,-2,1.23,Woro2k,22437,13 - 9,1.44,63.2,2,1.16,br0,22437,7 - 15,0.47,46.1,-1,0.72,Wildcard,brett,22437,14 - 14,1,83,-1,1.07,d4rty,22437,12 - 15,0.8,83.8,3,1.03,Cryptic,22437,11 - 16,0.69,68.2,-2,0.9,SLIGHT,22437,10 - 14,0.71,65.3,0,0.88,freshie,22437,11 - 15,0.73,46.4,-3,0.75,1,73,58,131,3.84,3.05,3,5,8,19,Medium,19
22438,Thunderpick World Championship 2023,Ninjas in Pyjamas,Virtus.pro,Overpass,13,8,4,9,8,0,2,0,12,9,1.13,1.01,Online,10/27/2023,Map1,1,Ninjas in Pyjamas,k0nfig,22438,18 - 14,1.29,90,2,1.35,headtr1ck,22438,17 - 12,1.42,82.1,2,1.3,REZ,22438,13 - 9,1.44,69,0,1.18,maxster,22438,10 - 12,0.83,64.2,-1,1.02,es3tag,22438,9 - 13,0.69,42.6,0,0.79,Virtus.pro,Jame,22438,14 - 9,1.56,57.6,-1,1.14,mir,22438,11 - 15,0.73,73.7,-1,1.03,FL1T,22438,13 - 14,0.93,73.6,-1,1.03,n0rb3r7,22438,11 - 15,0.73,50.1,-1,0.95,fame,22438,10 - 15,0.67,50.7,1,0.93,1,67,59,126,3.19,2.81,3,2,5,19,Medium,21
22439,Thunderpick World Championship 2023,Ninjas in Pyjamas,Virtus.pro,Ancient,3,13,3,0,9,4,0,0,4,12,0.78,1.33,Online,10/27/2023,Map2,2,Ninjas in Pyjamas,k0nfig,22439,11 - 13,0.85,81.3,-2,1,REZ,22439,12 - 10,1.2,70.1,-2,0.98,headtr1ck,22439,8 - 13,0.62,72.9,0,0.89,maxster,22439,7 - 13,0.54,59.8,0,0.7,es3tag,22439,3 - 14,0.21,30.4,-4,0.33,Virtus.pro,fame,22439,16 - 8,2,102.1,1,1.56,FL1T,22439,15 - 8,1.88,99.1,0,1.55,Jame,22439,11 - 5,2.2,72.7,0,1.31,n0rb3r7,22439,12 - 10,1.2,76.7,4,1.24,mir,22439,9 - 10,0.9,62.9,3,0.96,2,41,63,104,2.56,3.94,3,2,5,19,Medium,16
